Outcome,Time,Score,Algorithm
0,11.981,230,0
0,12.013,230,0
0,13.919,140,1
1,83.084,2000,1
0,75.574,1370,1
1,188.79,1720,1
1,130.36,1790,1
1,77.166,2200,1
1,91.854,2390,1
0,27.741,1030,1
0,27.189,970,1
1,29.209,1220,1
1,155.47,2800,1
1,154.05,2420,1
1,38.597,3950,1
1,66.888,5640,1
0,15.088,140,1
1,48.880,2390,1
1,25.144,1230,1
0,204.57,70,1
0,194.59,30,1
0,195.32,30,1
0,161.50,10,1
0,206.12,20,1
0,194.09,20,1
0,194.56,0,1
0,194.91,10,1
0,194.81,10,1
0,214.62,60,1
0,213.89,30,1
0,185.03,10,1
0,186.70,10,1
0,14.186,30,1
0,17.105,20,1
0,15.131,40,1
0,14.307,30,1
0,21.677,100,1
0,16.242,40,1
0,16.048,20,1
0,15.695,20,1
0,14.380,30,1
0,13.684,40,1
0,18.419,50,1
0,18.287,50,1
0,14.271,30,1
0,16.830,20,1
0,19.264,30,1
0,13.832,0,1
0,14.776,30,1
0,16.356,20,1
0,14.383,40,1
0,13.813,20,1
0,16.899,60,1
0,14.091,10,1
0,13.725,20,1
0,35.226,600,1
0,15.827,20,1
0,18.279,40,1
0,14.660,0,1
0,14.857,10,1
0,14.197,10,1
0,14.586,10,1
0,14.206,10,1
0,15.620,40,1
0,14.607,30,1
0,13.942,30,1
0,14.264,30,1
0,17.205,20,1
0,14.215,10,1
0,18.094,30,1
0,15.427,60,1
0,14.400,0,1
0,14.388,30,1
0,22.013,50,1
0,14.629,0,1
0,14.124,20,1
0,14.454,10,1
0,14.022,10,1
0,14.399,10,1
0,13.927,40,1
0,14.483,20,1
0,14.034,0,1
0,15.910,10,1
0,14.392,10,1
0,20.319,50,1
0,13.952,10,1
0,14.473,10,1
0,14.438,20,1
0,14.422,10,1
0,17.622,40,1
0,15.350,40,1
0,14.520,10,1
0,13.901,0,1
0,15.076,20,1
0,14.701,10,1
0,17.636,30,1
0,14.238,10,1
0,14.572,10,1
0,14.483,20,1
0,14.290,30,1
0,26.071,90,1
0,22.405,90,1
0,14.202,10,1
0,14.009,20,1
0,14.265,50,1
0,13.758,30,1
0,17.328,30,1
0,25.232,680,1
0,20.807,50,1
0,14.134,10,1
0,14.468,10,1
0,14.383,40,1
0,39.768,910,1
0,16.965,20,1
0,14.346,10,1
0,15.517,20,1
0,14.119,10,1
0,16.839,20,1
0,15.377,10,1
0,14.632,10,1
0,14.092,10,1
0,13.623,40,1
0,14.192,30,1
0,15.052,10,1
0,14.081,10,1
0,15.957,20,1
0,30.844,890,1
0,16.320,30,1
0,14.099,10,1
0,14.411,20,1
0,14.566,10,1
0,14.041,20,1
0,14.536,10,1
0,13.771,40,1
0,14.168,30,1
0,29.872,870,1
0,14.145,40,1
0,14.093,10,1
0,26.582,140,1
0,30.204,150,1
0,18.003,40,1
0,14.072,10,1
0,13.403,40,1
0,13.488,40,1
0,17.983,40,1
0,27.787,110,1
0,14.491,30,1
0,14.066,0,1
0,14.127,10,1
0,14.188,20,1
0,14.056,10,1
0,14.014,10,1
0,14.207,20,1
0,17.075,30,1
0,17.046,10,1
0,14.432,10,1
0,14.041,10,1
0,14.603,10,1
0,14.475,0,1
0,14.442,20,1
0,14.701,10,1
0,13.977,0,1
0,15.590,10,1
0,17.386,20,1
0,39.424,910,1
0,15.314,40,1
0,14.598,30,1
0,17.818,50,1
0,14.331,20,1
0,14.625,10,1
0,19.622,70,1
0,14.094,10,1
0,15.340,20,1
0,13.991,10,1
0,18.644,50,1
0,28.362,690,1
0,14.227,30,1
0,17.450,20,1
0,14.397,0,1
0,14.570,0,1
0,14.184,30,1
0,18.229,60,1
0,14.152,30,1
0,17.803,50,1
0,16.934,10,1
0,14.034,30,1
0,42.740,930,1
0,34.488,160,1
0,23.046,100,1
0,14.301,10,1
0,13.751,30,1
0,17.274,30,1
0,14.404,10,1
0,14.725,10,1
0,14.435,10,1
0,13.736,10,1
0,54.592,1610,1
0,14.367,10,1
0,14.049,20,1
0,29.968,530,1
0,23.427,100,1
0,14.486,20,1
0,14.568,10,1
0,14.355,20,1
0,13.917,40,1
0,14.045,40,1
0,14.192,10,1
0,13.726,50,1
0,14.604,30,1
0,14.333,10,1
0,14.329,20,1
0,14.706,10,1
0,16.292,40,1
0,14.364,0,1
0,14.161,20,1
0,13.374,40,1
0,14.711,10,1
0,13.749,10,1
0,14.714,10,1
0,19.673,40,1
0,14.218,10,1
0,14.170,40,1
0,13.628,90,1
0,18.978,50,1
0,14.275,10,1
0,14.307,10,1
0,14.202,40,1
0,14.279,20,1
0,17.356,20,1
0,14.106,20,1
0,16.820,20,1
0,14.525,30,1
0,14.422,10,1
0,14.179,20,1
0,24.206,70,1
0,15.593,50,1
0,17.935,20,1
0,14.052,20,1
0,15.239,50,1
0,14.115,20,1
0,14.464,30,1
0,13.439,40,1
0,44.633,970,1
0,15.228,50,1
0,14.272,20,1
0,14.501,0,1
0,14.142,10,1
0,14.293,10,1
0,13.734,10,1
0,13.937,10,1
0,13.547,40,1
0,14.664,10,1
0,17.067,20,1
0,13.622,20,1
0,14.008,10,1
0,14.301,10,1
0,14.014,10,1
0,14.445,20,1
0,13.922,10,1
0,13.876,20,1
0,14.003,10,1
0,22.468,110,1
0,21.570,50,1
0,14.437,10,1
0,14.647,20,1
0,14.452,10,1
0,14.576,0,1
0,1.0503,40,1
0,0.6591,20,1
0,0.6781,10,1
0,0.6655,10,1
0,0.6737,30,1
0,0.9763,40,1
0,0.6518,20,1
0,1.1510,70,1
0,0.6572,30,1
0,0.6484,10,1
0,0.7078,20,1
0,0.8133,20,1
0,0.7823,30,1
0,0.6342,40,1
0,0.7712,10,1
0,0.9541,50,1
0,0.6714,40,1
0,0.7143,20,1
0,2.1037,890,1
0,0.6618,20,1
0,0.6695,20,1
0,0.6442,40,1
0,0.6488,30,1
0,1.0941,100,1
0,0.7216,30,1
0,0.9061,80,1
0,0.6569,20,1
0,0.6425,20,1
0,0.6265,30,1
0,1.0190,80,1
0,0.5922,50,1
0,0.7669,50,1
0,2.3777,1540,1
0,1.0475,90,1
0,0.6810,40,1
0,1.4105,720,1
0,1.4585,140,1
0,0.5915,40,1
0,0.8084,40,1
0,0.7446,30,1
0,1.3228,850,1
0,0.6385,30,1
0,0.6636,20,1
0,0.6461,20,1
0,0.6436,40,1
0,0.6616,0,1
0,0.6883,20,1
0,0.6578,20,1
0,0.6442,20,1
0,0.6744,0,1
0,0.6317,20,1
0,0.6600,10,1
0,0.6621,10,1
0,0.6489,10,1
0,0.6971,10,1
0,0.6414,20,1
0,0.6601,10,1
0,0.7138,20,1
0,0.6544,0,1
0,0.6681,0,1
0,0.6239,20,1
0,0.5977,30,1
0,0.6496,20,1
0,1.4756,710,1
0,1.5181,530,1
0,0.6465,0,1
0,0.7942,30,1
0,0.6413,40,1
0,0.6707,20,1
0,0.7425,20,1
0,0.6447,10,1
0,0.6516,10,1
0,0.6595,10,1
0,0.6634,20,1
0,0.6416,10,1
0,0.6444,0,1
0,0.6607,10,1
0,0.8098,20,1
0,0.6689,20,1
0,0.6420,10,1
0,0.6471,10,1
0,0.8196,30,1
0,0.6850,10,1
0,0.6421,20,1
0,0.6404,10,1
0,0.6840,20,1
0,0.6588,20,1
0,0.7933,50,1
0,0.6599,40,1
0,0.9287,90,1
0,0.6434,10,1
0,0.6562,40,1
0,0.6637,10,1
0,0.7351,20,1
0,1.2094,490,1
0,1.1339,70,1
0,0.7086,50,1
0,1.0959,100,1
0,0.6493,20,1
0,0.6800,20,1
0,0.7923,30,1
0,1.0890,500,1
0,0.9400,50,1
0,0.6392,30,1
0,0.6703,10,1
0,0.6445,10,1
0,0.6435,10,1
0,0.6302,20,1
0,0.6953,10,1
0,0.6404,10,1
0,0.6251,40,1
0,1.4795,500,1
0,0.8422,30,1
0,0.6725,10,1
0,0.7236,20,1
0,0.6367,0,1
0,0.7867,10,1
0,0.6239,20,1
0,0.6551,40,1
0,0.6442,0,1
0,0.6420,10,1
0,0.6427,10,1
0,0.6406,20,1
0,0.6655,20,1
0,0.7878,10,1
0,0.6420,10,1
0,0.8072,40,1
0,0.6608,40,1
0,0.7119,10,1
0,0.6742,20,1
0,0.6647,10,1
0,1.2530,120,1
0,0.7011,10,1
0,0.6589,0,1
0,0.6477,10,1
0,0.6330,10,1
0,0.6112,40,1
0,0.8341,50,1
0,1.1827,90,1
0,0.6245,30,1
0,0.6499,10,1
0,0.6332,20,1
0,0.7001,20,1
0,0.8045,60,1
0,0.6642,10,1
0,0.6633,30,1
0,0.7109,50,1
0,0.6465,10,1
0,0.7021,0,1
0,1.0770,90,1
0,0.7077,10,1
0,0.6761,10,1
0,0.6477,10,1
0,0.6475,0,1
0,0.8355,20,1
0,0.6549,10,1
0,0.6441,30,1
0,0.6386,20,1
0,0.6338,20,1
0,0.6335,30,1
0,0.6393,30,1
0,0.7940,30,1
0,0.9080,40,1
0,0.6895,20,1
0,0.6573,10,1
0,0.6674,20,1
0,0.6755,10,1
0,0.6261,10,1
0,0.6567,10,1
0,0.6522,30,1
0,0.6399,10,1
0,0.6826,10,1
0,0.6960,10,1
0,0.6473,10,1
0,0.6514,10,1
0,0.6470,10,1
0,0.6606,20,1
0,0.6622,10,1
0,0.6410,10,1
0,0.6449,10,1
0,0.6540,20,1
0,0.6422,10,1
0,0.6231,20,1
